       rhogas          rsgas        rhostar          rstar
        8.46800          0.30000          3.33680          0.22300
        8.46800          0.30000          3.34396          0.22300
        8.46800          0.30000          3.34897          0.22300
        8.46800          0.30000          3.35319          0.22300
        8.46800          0.30000          3.35700          0.22300
        8.46800          0.30000          3.35440          0.22300
        8.46800          0.30000          3.35459          0.22300
        8.46800          0.30000          3.35287          0.22300
        8.46800          0.30000          3.35315          0.22300
        8.46800          0.30000          3.34468          0.22300
        8.46800          0.30000          3.34979          0.22300
        8.46800          0.30000          3.34395          0.22300
        8.46800          0.30000          3.35755          0.22300
        8.46800          0.30000          3.35832          0.22300
        8.46800          0.30000          3.35067          0.22300
        8.46800          0.30000          3.35650          0.22300
        8.46800          0.30000          3.36293          0.22300
        8.46800          0.30000          3.35813          0.22300
        8.46800          0.30000          3.36154          0.22300
        8.46800          0.30000          3.35960          0.22300
        8.46800          0.30000          3.36636          0.22300
        8.46800          0.30000          3.36160          0.22300
        8.46800          0.30000          3.34625          0.22300
        8.46800          0.30000          3.34004          0.22300
        8.46800          0.30000          3.34257          0.22300
        8.46800          0.30000          3.35513          0.22300
        8.46800          0.30000          3.36073          0.22300
        8.46800          0.30000          3.35302          0.22300
        8.46800          0.30000          3.35804          0.22300
        8.46800          0.30000          3.36482          0.22300
        8.46800          0.30000          3.36594          0.22300
        8.46800          0.30000          3.35426          0.22300
        8.46800          0.30000          3.34761          0.22300
        8.46800          0.30000          3.36030          0.22300
        8.46800          0.30000          3.35805          0.22300
        8.46800          0.30000          3.34815          0.22300
        8.46800          0.30000          3.35172          0.22300
        8.46800          0.30000          3.35927          0.22300
        8.46800          0.30000          3.36719          0.22300
        8.46800          0.30000          3.37816          0.22300
        8.46800          0.30000          3.36475          0.22300
        8.46800          0.30000          3.37389          0.22300
        8.46800          0.30000          3.36772          0.22300
        8.46800          0.30000          3.36471          0.22300
        8.46800          0.30000          3.36447          0.22300
        8.46800          0.30000          3.37194          0.22300
        8.46800          0.30000          3.36979          0.22300
        8.46800          0.30000          3.36947          0.22300
        8.46800          0.30000          3.35759          0.22300
        8.46800          0.30000          3.36167          0.22300
        8.46800          0.30000          3.37285          0.22300
        8.46800          0.30000          3.37687          0.22300
        8.46800          0.30000          3.36782          0.22300
        8.46800          0.30000          3.35762          0.22300
        8.46800          0.30000          3.35533          0.22300
        8.46800          0.30000          3.36528          0.22300
        8.46800          0.30000          3.36590          0.22300
        8.46800          0.30000          3.36798          0.22300
        8.46800          0.30000          3.35173          0.22300
        8.46800          0.30000          3.35110          0.22300
        8.46800          0.30000          3.35046          0.22300
        8.46800          0.30000          3.35050          0.22300
        8.46800          0.30000          3.34891          0.22300
        8.46800          0.30000          3.35194          0.22300
        8.46800          0.30000          3.35178          0.22300
        8.46800          0.30000          3.35194          0.22300
        8.46800          0.30000          3.36763          0.22300
        8.46800          0.30000          3.36698          0.22300
        8.46800          0.30000          3.37631          0.22300
        8.46800          0.30000          3.37701          0.22300
        8.46800          0.30000          3.37335          0.22300
        8.46800          0.30000          3.36521          0.22300
        8.46800          0.30000          3.35953          0.22300
        8.46800          0.30000          3.35433          0.22300
        8.46800          0.30000          3.35532          0.22300
        8.46800          0.30000          3.34478          0.22300
        8.46800          0.30000          3.33551          0.22300
        8.46800          0.30000          3.34248          0.22300
        8.46800          0.30000          3.34457          0.22300
        8.46800          0.30000          3.34692          0.22300
        8.46800          0.30000          3.34871          0.22300
        8.46800          0.30000          3.34463          0.22300
        8.46800          0.30000          3.34399          0.22300
        8.46800          0.30000          3.34148          0.22300
        8.46800          0.30000          3.32968          0.22300
        8.46800          0.30000          3.31549          0.22300
        8.46800          0.30000          3.30408          0.22300
        8.46800          0.30000          3.29911          0.22300
        8.46800          0.30000          3.30517          0.22300
        8.46800          0.30000          3.29773          0.22300
        8.46800          0.30000          3.30744          0.22300
        8.46800          0.30000          3.30294          0.22300
        8.46800          0.30000          3.31567          0.22300
        8.46800          0.30000          3.32160          0.22300
        8.46800          0.30000          3.32452          0.22300
        8.46800          0.30000          3.32334          0.22300
        8.46800          0.30000          3.31426          0.22300
        8.46800          0.30000          3.31373          0.22300
        8.46800          0.30000          3.30131          0.22300
        8.46800          0.30000          3.29717          0.22300
        8.46800          0.30000          3.29574          0.22300
        8.46800          0.30000          3.30217          0.22300
        8.46800          0.30000          3.30997          0.22300
        8.46800          0.30000          3.30473          0.22300
        8.46800          0.30000          3.30927          0.22300
        8.46800          0.30000          3.31499          0.22300
        8.46800          0.30000          3.32501          0.22300
        8.46800          0.30000          3.32676          0.22300
        8.46800          0.30000          3.33912          0.22300
        8.46800          0.30000          3.34002          0.22300
        8.46800          0.30000          3.33445          0.22300
        8.46800          0.30000          3.34051          0.22300
        8.46800          0.30000          3.33477          0.22300
        8.46800          0.30000          3.33141          0.22300
        8.46800          0.30000          3.32739          0.22300
        8.46800          0.30000          3.32914          0.22300
        8.46800          0.30000          3.31608          0.22300
        8.46800          0.30000          3.32198          0.22300
        8.46800          0.30000          3.32534          0.22300
        8.46800          0.30000          3.32188          0.22300
        8.46800          0.30000          3.32716          0.22300
        8.46800          0.30000          3.31722          0.22300
        8.46800          0.30000          3.31602          0.22300
        8.46800          0.30000          3.32089          0.22300
        8.46800          0.30000          3.33132          0.22300
        8.46800          0.30000          3.32819          0.22300
        8.46800          0.30000          3.33154          0.22300
        8.46800          0.30000          3.33704          0.22300
        8.46800          0.30000          3.33636          0.22300
        8.46800          0.30000          3.32348          0.22300
        8.46800          0.30000          3.33078          0.22300
        8.46800          0.30000          3.33229          0.22300
        8.46800          0.30000          3.33334          0.22300
        8.46800          0.30000          3.32590          0.22300
        8.46800          0.30000          3.32429          0.22300
        8.46800          0.30000          3.31884          0.22300
        8.46800          0.30000          3.31838          0.22300
        8.46800          0.30000          3.31391          0.22300
        8.46800          0.30000          3.31527          0.22300
        8.46800          0.30000          3.30749          0.22300
        8.46800          0.30000          3.31291          0.22300
        8.46800          0.30000          3.31858          0.22300
        8.46800          0.30000          3.30935          0.22300
        8.46800          0.30000          3.31203          0.22300
        8.46800          0.30000          3.31223          0.22300
        8.46800          0.30000          3.30426          0.22300
        8.46800          0.30000          3.31104          0.22300
        8.46800          0.30000          3.30975          0.22300
        8.46800          0.30000          3.30473          0.22300
        8.46800          0.30000          3.31948          0.22300
        8.46800          0.30000          3.32483          0.22300
        8.46800          0.30000          3.31212          0.22300
        8.46800          0.30000          3.31159          0.22300
        8.46800          0.30000          3.32396          0.22300
        8.46800          0.30000          3.30691          0.22300
        8.46800          0.30000          3.30337          0.22300
        8.46800          0.30000          3.30563          0.22300
        8.46800          0.30000          3.30506          0.22300
        8.46800          0.30000          3.29527          0.22300
        8.46800          0.30000          3.28998          0.22300
        8.46800          0.30000          3.28823          0.22300
        8.46800          0.30000          3.28301          0.22300
        8.46800          0.30000          3.28305          0.22300
        8.46800          0.30000          3.27951          0.22300
        8.46800          0.30000          3.27539          0.22300
        8.46800          0.30000          3.28399          0.22300
        8.46800          0.30000          3.27638          0.22300
        8.46800          0.30000          3.29720          0.22300
        8.46800          0.30000          3.29022          0.22300
        8.46800          0.30000          3.29590          0.22300
        8.46800          0.30000          3.30183          0.22300
        8.46800          0.30000          3.29243          0.22300
        8.46800          0.30000          3.30464          0.22300
        8.46800          0.30000          3.30429          0.22300
        8.46800          0.30000          3.30392          0.22300
        8.46800          0.30000          3.30922          0.22300
        8.46800          0.30000          3.31075          0.22300
        8.46800          0.30000          3.28891          0.22300
        8.46800          0.30000          3.28923          0.22300
        8.46800          0.30000          3.29753          0.22300
        8.46800          0.30000          3.29878          0.22300
        8.46800          0.30000          3.31329          0.22300
        8.46800          0.30000          3.30658          0.22300
        8.46800          0.30000          3.31553          0.22300
        8.46800          0.30000          3.31094          0.22300
        8.46800          0.30000          3.30481          0.22300
        8.46800          0.30000          3.31236          0.22300
        8.46800          0.30000          3.30555          0.22300
        8.46800          0.30000          3.30176          0.22300
        8.46800          0.30000          3.30999          0.22300
        8.46800          0.30000          3.31590          0.22300
        8.46800          0.30000          3.31989          0.22300
        8.46800          0.30000          3.32315          0.22300
        8.46800          0.30000          3.32296          0.22300
        8.46800          0.30000          3.33296          0.22300
        8.46800          0.30000          3.33789          0.22300
        8.46800          0.30000          3.33538          0.22300
        8.46800          0.30000          3.33334          0.22300
        8.46800          0.30000          3.33681          0.22300
        8.46800          0.30000          3.33864          0.22300
        8.46800          0.30000          3.33472          0.22300
        8.46800          0.30000          3.33895          0.22300
        8.46800          0.30000          3.34167          0.22300
        8.46800          0.30000          3.34400          0.22300
        8.46800          0.30000          3.34246          0.22300
        8.46800          0.30000          3.32818          0.22300
        8.46800          0.30000          3.32590          0.22300
        8.46800          0.30000          3.32556          0.22300
        8.46800          0.30000          3.31949          0.22300
        8.46800          0.30000          3.32110          0.22300
        8.46800          0.30000          3.32480          0.22300
        8.46800          0.30000          3.31423          0.22300
        8.46800          0.30000          3.31157          0.22300
        8.46800          0.30000          3.30369          0.22300
        8.46800          0.30000          3.30374          0.22300
        8.46800          0.30000          3.29371          0.22300
