# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
1139.98    372.9    50.0
2510.16    1358.3    50.0
1328.60    -67.7    50.0
4591.78    995.3    50.0
1037.25    881.4    50.0
579.34    988.1    50.0
1635.13    23.5    50.0
1996.25    877.5    50.0
2217.56    -68.7    50.0
1715.86    625.2    50.0
1171.67    -195.7    50.0
2710.66    -1074.2    50.0
2035.90    -541.4    50.0
1290.09    -1571.0    50.0
490.93    1546.9    50.0
499.73    -1972.7    50.0
568.98    -1168.7    50.0
508.54    -261.0    50.0
1720.84    7.0    50.0
1957.84    175.1    50.0
343.91    944.9    50.0
891.63    739.2    50.0
2123.48    347.8    50.0
235.28    -2359.2    50.0
1814.24    -1050.4    50.0
752.03    -1509.5    50.0
974.09    -930.2    50.0
725.12    704.8    50.0
743.43    -1000.1    50.0
2605.89    88.3    50.0
1594.18    -855.8    50.0
1847.62    295.1    50.0
186.14    -586.1    50.0
495.46    1786.1    50.0
2010.10    153.4    50.0
111.98    -139.4    50.0
145.05    -164.0    50.0
840.85    677.4    50.0
1189.83    -742.1    50.0
1907.46    122.1    50.0
262.77    -64.8    50.0
1170.66    -711.8    50.0
571.27    1397.7    50.0
2053.77    532.5    50.0
2387.03    341.9    50.0
687.94    329.7    50.0
741.54    239.5    50.0
36.54    -180.4    50.0
421.21    179.5    50.0
1759.56    682.1    50.0
420.21    -599.3    50.0
2302.93    -523.8    50.0
2018.75    45.9    50.0
1647.15    -943.5    50.0
1498.28    348.9    50.0
508.21    -28.0    50.0
1962.48    384.9    50.0
1596.48    385.7    50.0
1640.68    49.4    50.0
2073.78    69.6    50.0
344.19    83.9    50.0
1087.50    -703.4    50.0
388.51    -1046.1    50.0
1094.28    342.8    50.0
2048.10    897.8    50.0
45.85    -1151.0    50.0
2896.80    1036.2    50.0
405.49    538.5    50.0
463.27    -960.4    50.0
1051.12    -374.4    50.0
429.29    1441.2    50.0
2817.27    -318.8    50.0
1704.58    -129.7    50.0
1502.57    982.2    50.0
877.48    -20.5    50.0
131.00    -2249.2    50.0
2928.24    -1132.5    50.0
500.54    1060.1    50.0
853.17    -1171.5    50.0
180.83    1177.4    50.0
1385.61    -870.2    50.0
1245.28    470.1    50.0
2577.99    601.2    50.0
1200.41    618.5    50.0
1597.97    -618.5    50.0
328.52    500.7    50.0
196.91    689.9    50.0
1783.24    -1033.2    50.0
2050.80    -650.1    50.0
1577.59    -191.1    50.0
455.43    -178.2    50.0
2656.05    936.8    50.0
4038.85    -459.1    50.0
2210.91    226.1    50.0
1206.07    -704.2    50.0
1573.62    -1341.9    50.0
2107.39    523.1    50.0
687.33    -1113.1    50.0
3130.62    -362.5    50.0
95.99    -272.4    50.0
2571.21    -1035.0    50.0
23.08    217.2    50.0
1172.98    484.0    50.0
1244.96    1240.3    50.0
2526.15    -144.1    50.0
1351.19    429.7    50.0
241.81    840.0    50.0
1800.51    50.2    50.0
957.20    -1312.3    50.0
2956.52    -43.6    50.0
326.72    1222.9    50.0
248.53    -397.7    50.0
1944.50    1108.2    50.0
2265.11    -1860.3    50.0
1134.32    -1403.1    50.0
1924.30    411.2    50.0
73.51    2460.0    50.0
994.63    654.7    50.0
2083.20    -761.9    50.0
343.48    -132.0    50.0
568.76    -1545.7    50.0
1279.82    -92.0    50.0
1384.79    640.8    50.0
1092.19    -66.0    50.0
189.52    -131.0    50.0
1305.57    594.2    50.0
1777.61    -552.0    50.0
850.13    587.4    50.0
1398.82    1767.5    50.0
532.94    -82.7    50.0
3203.90    492.1    50.0
1347.10    133.4    50.0
1165.46    -331.0    50.0
2970.93    739.5    50.0
1840.61    1154.1    50.0
772.77    953.8    50.0
405.69    619.3    50.0
412.70    108.9    50.0
1807.74    -39.1    50.0
370.63    -601.3    50.0
2326.83    92.5    50.0
4074.22    -370.9    50.0
88.97    1049.3    50.0
877.78    1192.4    50.0
2014.03    -612.9    50.0
403.33    -1296.9    50.0
1869.34    1234.6    50.0
638.13    218.4    50.0
2846.09    -1134.8    50.0
1077.57    -1385.7    50.0
286.56    271.3    50.0
768.24    269.4    50.0
1153.00    -180.8    50.0
579.23    488.1    50.0
4396.96    401.0    50.0
281.43    -1247.0    50.0
1270.82    794.0    50.0
1312.55    -775.5    50.0
1980.48    331.0    50.0
491.29    -1525.6    50.0
1503.55    -409.9    50.0
564.52    915.9    50.0
1638.10    539.5    50.0
318.17    -391.3    50.0
420.21    1446.1    50.0
4381.63    -583.8    50.0
1749.35    381.3    50.0
781.21    636.3    50.0
366.04    -807.4    50.0
255.76    -2325.5    50.0
628.46    167.2    50.0
1086.26    0.1    50.0
423.61    747.6    50.0
2641.16    -718.6    50.0
1651.33    1366.2    50.0
741.73    -1084.6    50.0
1249.77    322.8    50.0
2583.17    -330.0    50.0
