#    Rkpc      vkms     evkms   weights
#                  
       2145.2633      583.014      153.000      1.00000
       2005.9905      728.766      75.0000      1.00000
       1903.8912     -791.230      153.000      1.00000
       1828.6829      1020.27      75.0000      1.00000
       1882.8813     -812.049      75.0000      1.00000
       1922.5620     -853.693      153.000      1.00000
       1694.3438      541.370      153.000      1.00000
       1569.8870     -832.874      153.000      1.00000
       1676.4160     -645.478      75.0000      1.00000
       2152.6816     -249.860      153.000      1.00000
       1710.5316     -776.653      153.000      1.00000
       1995.3993     -1318.02      153.000      1.00000
       1305.5851     -395.612      153.000      1.00000
       1486.5588     -978.626      75.0000      1.00000
       1865.7695      1249.31      153.000      1.00000
       2005.1954     -353.967      153.000      1.00000
       1267.0409      312.329      153.000      1.00000
       2136.3693     -499.720      75.0000      1.00000
       1851.6290     -1124.38      153.000      1.00000
       1559.9301     -1873.96      153.000      1.00000
       1739.3891      20.8253      153.000      1.00000
       1726.5796      499.726      153.000      1.00000
       1116.3900      124.933      75.0000      1.00000
       1960.2453     -791.230      153.000      1.00000
       1030.2279     -1311.77      75.0000      1.00000
       1682.8549     -83.2887      153.000      1.00000
       2013.2233      62.4696      75.0000      1.00000
       1047.1052     -3102.45      75.0000      1.00000
       1254.5863     -3092.04      153.000      1.00000
       1758.5921     -2019.72      153.000      1.00000
       1037.5115     -478.900      153.000      1.00000
       1031.7019     -3560.53      153.000      1.00000
       1374.5528      1457.53      153.000      1.00000
       1029.4304     -749.586      153.000      1.00000
       888.55868     -1478.35      153.000      1.00000
       919.72778      1811.50      153.000      1.00000
       935.45232      1145.20      153.000      1.00000
       1391.5719      312.329      153.000      1.00000
       1752.9553      499.726      153.000      1.00000
       852.23360      2394.51      153.000      1.00000
       1006.9443     -1228.49      153.000      1.00000
       799.36617     -2290.40      153.000      1.00000
       1362.2931      312.329      153.000      1.00000
       1799.4659     -187.396      153.000      1.00000
       1449.2651      312.329      75.0000      1.00000
       778.37064      1395.06      153.000      1.00000
       862.97921      1603.28      153.000      1.00000
       2117.3292     -20.8191      153.000      1.00000
       771.20771     -166.571      75.0000      1.00000
       780.92860      895.338      75.0000      1.00000
       1389.2139      853.693      153.000      1.00000
       1607.2249      41.6443      153.000      1.00000
       1339.1288     -1497.09      153.000      1.00000
       1376.4316     -635.065      153.000      1.00000
       1255.9801     -104.108      153.000      1.00000
       1264.5030      903.665      153.000      1.00000
       1176.7091      666.297      75.0000      1.00000
       1462.9411     -2290.40      75.0000      1.00000
       1289.5457     -249.860      153.000      1.00000
       1140.9383     -268.600      153.000      1.00000
       1362.6344     -2103.00      153.000      1.00000
       712.51486     -72.8760      153.000      1.00000
       710.31201     -624.653      153.000      1.00000
       1481.2226      832.874      153.000      1.00000
       585.18332      187.396      75.0000      1.00000
       1147.6630      0.00000      75.0000      1.00000
       1405.2795     -499.720      153.000      1.00000
       1464.0982     -83.2887      153.000      1.00000
       2058.1588      62.4696      153.000      1.00000
       1151.4050     -1228.49      153.000      1.00000
       887.82040     -1686.57      153.000      1.00000
       1927.5418     -1624.10      153.000      1.00000
       553.12486      2790.13      75.0000      1.00000
       1210.8393      1957.25      153.000      1.00000
       1041.0111      1145.20      153.000      1.00000
       1407.5677     -1186.84      153.000      1.00000
       850.74292      1707.39      153.000      1.00000
       614.53314      229.041      153.000      1.00000
       510.32234      312.329      75.0000      1.00000
       488.62621     -458.081      153.000      1.00000
       585.04332      1780.27      153.000      1.00000
       696.03428      801.643      153.000      1.00000
       655.34872      2186.29      153.000      1.00000
       822.46861     -1145.20      153.000      1.00000
       1361.0497     -1478.35      153.000      1.00000
       750.48732     -687.116      153.000      1.00000
       444.90083     -2810.95      153.000      1.00000
       945.38515      1234.73      153.000      1.00000
       2087.0225      1020.27      153.000      1.00000
       1685.4774      1228.49      153.000      1.00000
       480.10671     -208.215      153.000      1.00000
       2001.7250     -1041.09      75.0000      1.00000
       1341.4304     -759.992      153.000      1.00000
       826.10434      20.8253      75.0000      1.00000
       549.03106     -1540.82      75.0000      1.00000
       440.60655      1395.06      153.000      1.00000
       889.83691     -2040.54      153.000      1.00000
       776.37015      374.793      153.000      1.00000
       574.76157     -1082.73      153.000      1.00000
       655.65037      1415.88      75.0000      1.00000
       395.34008     -874.512      153.000      1.00000
       686.16859     -1249.31      153.000      1.00000
       1171.0815      1624.10      153.000      1.00000
       321.37610      1561.63      153.000      1.00000
       1080.4688     -187.396      153.000      1.00000
       328.18323     -603.833      153.000      1.00000
       1562.7890      2136.32      153.000      1.00000
       1672.1770      1873.96      153.000      1.00000
       307.15773      1873.96      153.000      1.00000
       462.47660     -187.396      75.0000      1.00000
       1931.9084     -187.396      153.000      1.00000
       281.18760     -583.008      153.000      1.00000
       285.48510      957.807      75.0000      1.00000
       670.07820     -905.750      75.0000      1.00000
       316.53607      1270.13      15.0000      1.00000
       1900.9948     -281.091      153.000      1.00000
       338.85166     -458.081      153.000      1.00000
       214.36660     -2935.87      15.0000      1.00000
       439.48280      1665.75      153.000      1.00000
       234.73184      718.354      153.000      1.00000
       1054.0748     -437.256      153.000      1.00000
       887.25283      333.148      153.000      1.00000
       548.13017      936.982      153.000      1.00000
       615.12929     -62.4634      75.0000      1.00000
       191.41664      728.766      15.0000      1.00000
       667.53496     -936.982      153.000      1.00000
       1149.6782      2061.36      153.000      1.00000
       1080.4373     -957.801      153.000      1.00000
       1267.8416      1436.71      153.000      1.00000
       195.84725     -2769.30      15.0000      1.00000
       447.59345      2498.62      153.000      1.00000
       436.86394     -749.586      15.0000      1.00000
       776.92206     -437.256      153.000      1.00000
       221.70264     -437.256      15.0000      1.00000
       140.91912     -520.545      15.0000      1.00000
       842.50129     -691.286      153.000      1.00000
       233.04358      312.329      15.0000      1.00000
       1409.7833     -312.323      153.000      1.00000
       215.93662      166.577      15.0000      1.00000
       482.01301      2998.34      153.000      1.00000
       478.80512      62.4696      153.000      1.00000
       1290.2464      1082.73      153.000      1.00000
       141.78667     -62.4634      15.0000      1.00000
       424.57609      2061.36      153.000      1.00000
       167.73190      499.726      15.0000      1.00000
       229.83985     -229.041      15.0000      1.00000
       126.03576     -2665.19      15.0000      1.00000
       104.80738     -2373.68      15.0000      1.00000
       362.27372     -1384.65      153.000      1.00000
       74.448671     -1374.24      15.0000      1.00000
       335.00045     -832.874      15.0000      1.00000
       500.49598      1020.27      153.000      1.00000
       1491.1711      20.8253      153.000      1.00000
       304.47286      1041.09      15.0000      1.00000
       267.72594     -541.364      15.0000      1.00000
       307.03602     -312.323      15.0000      1.00000
       169.33723      416.437      15.0000      1.00000
       1940.6359      62.4696      153.000      1.00000
       79.741724      187.396      15.0000      1.00000
       152.42867      2706.84      15.0000      1.00000
       187.80716     -1207.67      15.0000      1.00000
       68.845893      895.338      15.0000      1.00000
       337.59061     -1082.73      15.0000      1.00000
       55.427530      666.297      15.0000      1.00000
       196.61129     -1395.06      15.0000      1.00000
       47.483275     -187.396      15.0000      1.00000
       134.05978      478.900      15.0000      1.00000
       123.26796      1041.09      15.0000      1.00000
       238.73372     -2873.41      15.0000      1.00000
       315.27682      20.8253      15.0000      1.00000
       481.47097      562.189      153.000      1.00000
       462.33797     -1499.17      153.000      1.00000
       140.42468      603.833      15.0000      1.00000
       468.81073     -666.297      153.000      1.00000
       206.45275      0.00000      15.0000      1.00000
